id;titel_nl;beschrijving_nl;icoon;kleur;type;sectie;content_nl
1;Kinderfeestje;Een feestje om van te smullen.;celebration;pink;feestje;home;"# Een feestje om van te smullen|Een kinderfeestje is voor een kind iets waar hij/zij het hele jaar naar kan uitkijken. Een verjaardag is belangrijk en een feestje bijzonder. |Met een kookfeestje maak je er echt een speciale dag van.|## Nu ook thema feestjes!!|Kies een leuk thema met bijbehorende gerechten en we maken er een heerlijk feestje van!|[BUTTON:Bekijk alle thema's|themas]|Klaske haar kookworkshops verzorgt het hele kinderfeestje. Je kunt kiezen voor een kookfeestje bij jou of bij mij in de keuken. Beide keren hoef je zelf (bijna) niets te doen!|De jarige kiest 3 gerechten uit de lijst die je van mij krijgt. |Of kies voor een van de thema feestjes!|Een kinderfeestje duurt gemiddeld 2,5 – 3 uur. |Voor kinderen tot 8 jaar raad ik aan om het 2 gerechtjes te kiezen uit de lijst zodat het koken ± 1,5 uur duurt. De ervaring heeft geleerd dat dit voor kinderen jonger dan 8 jaar lang genoeg is.||Ik maak voor ieder kinderfeestje een persoonlijke offerte op basis van de gekozen gerechten, het aantal kinderen, waar ik naartoe moet en de eventuele extraatjes. Houd voor een volledig verzorgt kinderfeestje rekening met een bedrag tussen de €160,- en €225,- (± 20 euro per kind)||Tijdens het feestje mag je zelf zoveel fotos maken als je wilt. Ik vind het altijd heel leuk om die foto’s ook te ontvangen zodat ik er een leuk filmpje van kan maken. Gezichten van kinderen dek ik uit privacy overwegingen altijd af. Tenzij ik uitdrukkelijk toestemming heb om ze onafgedekt te plaatsen.|### Extra opties:|- Stift met eetbare inkt: Bij sommige gerechten die we maken tijdens de kinderfeestjes maak ik gebruik van een stift met eetbare inkt. Je krijgt in dat geval altijd een stift t.w.v. €2,- per stift. Meer stiften of een setje?|Laat het mij weten dan neem ik het mee in de offerte.|- Een kook pakketje, het kook pakketje bestaat uit alle ingredienten van dat gerecht, een recept en een link naar de video waarin ik stap voor stap uitlegt hoe je dat gerecht maakt. €8,50 extra per kind.|- Het keukenschort: Kinderen krijgen voorafgaand aan het kookfeestje allemaal een schort zodat hun kleren niet vies worden. Deze keukenschoftjes neem ik weer mee naar huis maar kun je er ook extra bij doen. €10,- per kind|## Kinderfeestje bij jou thuis:|[IMG:feestjethuis.webp]|Ik kom bij jou en geef een heerlijk kookfeestje met de gerechten die de jarige heeft uitgekozen. Ik neem alle ingrediënten en al het keukengerei voor het kookfeestje mee. Natuurlijk zorg ik ook voor schortjes!Ik zorg dat ik er 15 minuten van te voren ben om het eerste gerecht klaar te zetten. (bij een high tea zijn dit meerdere gerechten)|Het enige waar jij voor hoeft te zorgen is een beetje drinken voor de kinderen want koken maakt meestal wel dorstig. Taart is over het algemeen niet nodig want we maken zelf genoeg lekkers.|Tussen de gerechten door is er genoeg tijd om de cadeautjes uit te pakken, limonade en om te genieten van het lekkers wat ze zelf gemaakt hebben. In die tijd zet ik dan het volgende gerecht klaar wat we gaan maken. Tussen gerecht 2 en 3 doen de kinderen vaak even een spelletje, naar buiten of alvast wat eten.|Aan het einde van het kookfeestje krijgen alle kinderen een tasje met daarin een kookdiploma, alle recepten die we gemaakt hebben en natuurlijk mag het overgebleven lekkers ook mee naar huis.||## Kinderfeestje bij mij in de keuken:|[IMG:mijnkeuken.webp]|Jij komt bij mij en ik (Klaske) geef een heerlijk kookfeestje met de gerechten die de jarige heeft uitgekozen. Alle ingrediënten en het keukengerei staat klaar. Ik zorg voor limonade en voor schortjes.|Ik heb GEEN kookstudio! maar wel een mooie ruime woonkeuken met een grote tafel waar kinderen omheen kunnen staan.|Tussen de gerechten door is er genoeg tijd om de cadeautjes uit te pakken, limonade en om te genieten van het lekkers wat ze zelf gemaakt hebben. In die tijd zet ik dan het volgende gerecht klaar wat we gaan maken. Tussen gerecht 2 en 3 doen de kinderen vaak even een spelletje, naar buiten of alvast wat eten.|Aan het einde van het kookfeestje krijgen alle kinderen een tasje met daarin een kookdiploma, alle recepten die we gemaakt hebben en natuurlijk mag het overgebleven lekkers ook mee naar huis. .|Als je bij mij thuis komt: Ik heb een hele lieve hond, deze is tijdens het hele feestje buiten. Willen er kinderen wel met hem spelen? Dat mag natuurlijk altijd, maar wel buiten of in de kamer.||## Het kinderfeestje op een rijtje!|- De jarige kiest een thema of 2-3 gerechten uit de keuzelijst.|- Jij kiest WAAR je het kinderfeestje wilt houden bij jou of bij mij.|- Ik maak een offerte op maat.|- We kiezen in overleg een datum en tijd.|- Ik vraag naar allergieën en dieetwensen. Deze geef je door.|- Ik zorg voor alle ingrediënten, het keukengerei, placemats, schortjes en een tafelkleed.|- We gaan samen koken en lol maken!||Tussen de gerechten door is er tijd voor cadeautjes, limonade en even uitblazen.|Uiteraard mag het lekkers geproefd worden.|De kinderen krijgen altijd mee: |- tasje met de recepten |- kookdiploma |- het lekkers wat niet opgegeten is.|Sommige gerechten zijn niet geschikt om helemaal op te eten tijdens het kinderfeestje. We willen niet een hele groep misselijke kinderen naar huis sturen.| - Optioneel: Extra cadeautje.|- Een cadeautje mag je ook zelf verzorgen.|Mail of app nu voor een persoonlijke offerte van het kinderfeestje: info@klaskehaarkookworkshops.nl|[VIDEO:https://youtu.be/fI7sRX95hoI]"
2;Kookfeest in de klas;Workshop op locatie;school;purple;workshop;home;"[IMG:klas.webp]|Tijdens een kookfeestje leren kinderen dat koken leuk is! Kinderen leren het meeste door zelf te doen, zelf te ontdekken en te ervaren. Bij mijn kookworkshop/kookles mogen de kinderen alles zelf proberen. Lukt het niet? Dan gaan we samen kijken hoe we het WEL voor elkaar krijgen.||**Waar is het kookfeestje?**|Een kookfeestje kan in de klas, op de bso, voor de club, of iedere andere locatie waar kinderen zijn. Het enige wat ik nodig heb om er een feestje van te maken is enthousiaste kinderen en een lange tafel (die ik zelf desnoods meeneem). Als er kinderen komen dan wordt koken altijd een feestje!|Sinds kort is het mogelijk om bij een kookfeestje een oven te huren. Via een extern bedrijf regel ik dan een oven.||**Wat doen we met een kookfeestje?**|We kiezen in overleg de gerechten uit die passen bij de groep kinderen waarvoor het kookfeestje is. Ik neem alle ingrediënten, al het keukengerei and schortjes mee. Ik heb ook een tafelkleed en placemats om de tafel te beschermen. Tijdens de workshop leg ik stap voor stap uit aan de kinderen hoe je het gerecht maakt.|Ik laat zien hoe je een paprika snijd, of hoe je de banaan plet met je vork.|Hoe je roomkaas en mayonaise met elkaar mengt of hoe je een stukje deeg uit kunt rollen. Dit doet ieder kind voor zich.|Soms zijn er ook ingrediënten waarbij we moeten samen werken. Bijvoorbeeld slagroom. Dit kloppen we in estafette!||Uiteindelijk maakt ieder kind zijn eigen unieke gerecht klaar.|Ik houd altijd rekening met individuele allergieën of dieetwensen.||**NIEUW!!**|De high tea party. De kinderen worden verdeeld in kleine groepjes. Per groepje wordt 1-2 kleine hapjes gemaakt die later uitgedeeld kunnen worden. Meer informatie lees je hier!||**Goed om te weten:**||1. We koken met ingrediënten die je gewoon in de supermarkt kunt krijgen, zodat de kinderen het gerecht thuis nog een keer kunnen maken.|2. We gebruiken keukengerei wat 90% van de mensen gewoon in het keukenkastje heeft staan.|3. Ik heb speciale koksmessen waarmee de kinderen kunnen leren met een “groot” mes te werken.|4. Ik heb diverse andere messen om het snijden voor iedereen haalbaar te maken.|5. Het is mogelijk om meerdere groepen op 1 dag te voorzien van een kookfeestje. De workshops duren dan gemiddeld 1 uur.|6. Workshops waarbij we een complete maaltijd maken is in overleg mogelijk.|7. Voor kinderen die moeite hebben met lezen is het mogelijk om de recepten om te zetten in picto.||**Voor wie zijn de kookfeestjes**|Ieder kookfeestje is uniek dat betekent dat veel bedrijven een kookfeestje kunnen aanvragen.  Bijvoorbeeld:||1. (Speciaal) Onderwijsinstellingen|2. Stichtingen/instellingen voor kinderen die een lichamelijke of verstandelijke handicap hebben. (of zoals ik het liever noem kinderen met een  uitdaging)|3. BSO|4. Vrijetijds- en sportverenigingen zoals: club, scouting, kaatsvereniging|De kookfeestjes zijn geschikt voor kinderen in de leeftijd van 4 t/m 12 jaar.|OF voor jongvolwassen met een lichamelijke of verstandelijke handicap hebben. (of zoals ik het liever noem kinderen met een  uitdaging)||Groepen kunnen maximaal 30 kinderen bevatten.|Kinderen met een uitdaging hebben een speciale plek in mijn hart.|De kookfeestjes zijn juist voor deze kinderen uitermate geschikt.|Voor mij is het belangrijk dat kinderen tijdens het koken succes hebben. Dat ze voelen dit kan ik!!|Ik kijk dus altijd hoe kunnen we dit WEL doen. Zonder de kinderen de taak uit handen te nemen.|Ik zeg wel eens: “het heet workshop niet Klaske doet alles.”||**Een paar voorbeelden:**||1. Lukt het prakken niet met een vork dan pletten we hem met onze handen. Handen kun je wassen.|2. Is ze bang om het ei te laten vallen? Dan heb ik reserve.|3. Iedereen kan iets goed en we werken samen.||1. Jan kan heel goed de kruiden plukken.|2. Karin kan heel goed paprika snijden.|3. Mara is heel goed in de tomaatjes halveren.|4. Samen zetten ze alle ingrediënten klaar.||**Wat kost een kookfeestje?**|Ieder kookfeestje is uniek. Dat betekent ook dat ik altijd een persoonlijke offerte maak. De offerte is gebaseerd op het aantal kinderen, aantal groepen, gekozen gerecht en reistijd/kilometers.|Een offerte aanvragen kan via info@klaskehaarkookworkshops.nl|Voor overleg kun je het beste even bellen naar: 06-38275477 krijg je de voicemail? Dan ben ik aan het werk in de catering of ben ik een kookfeestje aan het geven. Spreek iets in, ik bel altijd terug!||**Het kookfeestje in het kort:**|1. Je wilt graag een kookfeestje voor de kinderen bij jou op locatie.|2. Je stuurt een mailtje naar: info@klaskehaarkookworkshops.nl|of je belt/appt 06-38275477|3. We kiezen een datum + starttijd.|4. We kiezen in overleg de gerechten.|5. Ik maak een offerte.|6. Jij gaat akkoord met de offerte.|7. Op de afgesproken datum kom ik een half uurtje van te voren om alles klaar te zetten in de gemeenschappelijke ruimte. Het is ook mogelijk om van klas naar klas te gaan met de workshop.|8. De kinderen maken een hun eigen portie maar  de voorbereiding doen we wel samen.|9. Na de workshop mogen ze hun eigen gerechtje, recept en een diploma mee naar huis nemen. De afwas? Die neem ik weer mee!|10. **Zijn er meerdere groepen bijvoorbeeld op een school?** Dan kan de groep de ingrediënten en het keukengerei voor de volgende groep klaarzetten.||[VIDEO:https://youtu.be/_rzLIKssVh4?si=TwEUTH9SrP2q_dOo]"
4;Kookfeest specials;Jongvolwassenen met een uitdaging;celebration;orange;feestje;home;"[IMG:kookfeestje-elf.webp]|In 2024 heb ik 2 keer een knal kookfeestje voor jong volwassenen mogen houden bij Stichting ELF.|Een organisatie die weekenden verzorgt voor jong volwassenen met een handicap. Tot dan toe had ik me eigenlijk voornamelijk gericht op de doelgroep kinderen met mijn kookfeestjes.||Maar deze workshop was zo speciaal en zo leuk dat ik in 2025 meer van deze workshops wil geven! Gericht op jong volwassenen die graag wat meer in de keuken staan. Het idee is dat we met de hele groep een menu maken voor de avondmaaltijd of de lunch. Een voorgerecht, een hoofdgerecht en een spectaculair toetje.|Van te voren spreken we af wat we gaan maken en wie de boodschappen doet. Doen jullie de boodschappen? Dan maak ik een lijstje met what je precies nodig hebt. En anders neem ik lekker makkelijk alles mee wat er nodig is.|Al het keukengerei neem ik mee. Dat is wel zo makkelijk met opruimen weer.||Ik kom een 15 minuten voordat de workshop begint om 1 en ander klaar te zetten. Ik stel mezelf voor en dan gaan we aan de slag.|Tussen de gerechten door moet er even opgeruimd worden en kunnen de deelnemers even uitpuffen. Omdat deze deelnemers vaak wat groter zijn zitten we aan tafel inplaats van te staan. Tenzij er op de locatie natuurlijk een mooie keuken is! Dan staan we zoveel mogelijk te koken.|Iedereen krijgt een taak die bij deze deelnemer past. Maar ik daag ze ook uit om nieuwe dingen te proberen.||Voor alle deelnemers is er na het kookfeestje een tasje met de recepten. Speciaal voor deze groep zet ik de recepten (indien gewenst) ook om in picto. Dit maakt het makkelijker om de recepten zelf te lezen! En ze krijgen een kookdiploma met naam en de vaardigheden die ze tijdens de workshop hebben toegepast.||Meer informatie? Bel 0638275477 of stuur een mailtje naar info@klaskehaarkookworkshops.nl||Hieronder een impressie van de kerstworkshop bij ELF||[VIDEO:https://youtu.be/TvQdcmNGvQo?si=42iJFwTGAXWXCnRu]"
5;Mini kookworkshop;Organiseer je een markt of festival?;star;blue;info;home;"[IMG:mini.webp]|Organiseer je een markt, fair, braderie of festival? Wil je dat de kinderen zich ook kunnen vermaken? Kies dan voor een heerlijke mini kookworkshop. Een mini kookworkshop is precies what het zegt een kookworkshop maar dan in het klein.||**Hoe werkt dat een mini kookworkshop?**|Ik neem koeken mee, poedersuiker, kleurstof, heel veel versiering, fondant en fruit. Ook zorg ik zelf voor een tent en 2 tafels.|De kinderen mogen zelf glazuur maken met de poedersuiker. Ze mogen  ook een kleurtje kiezen. Daarna mogen ze zelf beslissen what voor ontwerp ze maken op de koek. Een bloem, hun lievelingsdier of een ander fantastisch ontwerp. Is er een thema bekend of heb je misschien een jubileum?|Dan zal ik hier rekening mee houden en zoveel mogelijk aansluiten bij dat thema. Zo neem ik bij het thema water wafels mee en de kinderen  mogen een vlot maken met een echt zeil!||Momenteel ben ik bezig om te bedenken of ik ook andere gerechtjes kan aanbieden. Bijvoorbeeld een cheesecake of kleine hartige hapjes.|Op de aankomende markten ga ik dit uitgebreid testen naast de koekjes.||**Klik voor informatie waar je me vinden kunt hier:**||[BUTTON:Bekijk de agenda|agenda]||Dagen en tijden onder voorbehoud."
6;Over Klaske;Mijn motto: met een beetje liefde, geduld en creativiteit kan ieder kind leren koken.;info;amber;info;info;"[IMG:overmij.webp]||Mijn naam is Klaske Kooistra. Ik woon met mijn partner en zoon in Oosterbierum. Eén van mijn grote passies is koken. Ik ben geen sterrenchef en ik ben niet opgeleid als kok maar ik vind het heerlijk om te experimenteren. Naast het koken ben ik dol op kinderen. Natuurlijk vooral op mijn eigen zoon.|In 2021 ben ik deze 2 “liefdes” gaan combineren en ben ik kookworkshops gaan geven aan kinderen. Daar is wel eerst heel wat aan vooraf gegaan…|In 2013 toen mijn zoon net geboren was, was ik werkloos. Ik zei tegen mijn partner als ik nu weer ga werken wil ik iets doen wat ik leuk vind! Want ik breng hem niet naar de opvang voor werk waar ik eigenlijk geen zin in heb. Dat werd koken, eerst in de horeca maar dat paste niet bij ons als gezin.|In 2018 ontdekten we na een lange zoektocht dat Jan Fetze en ik Neurofibromatose hebben. Oftewel NF1. Ik leg het altijd zo uit: “heel kort door de bocht werken ons hersenen en ons lijf niet goed met elkaar samen.” Voor mij vielen er heel veel puzzelstukjes op zijn plek. Voor ons als gezin begon de zoektocht naar de mogelijkheden van Jan Fetze. Hoe konden wij hem het beste uit zichzelf laten halen?||[IMG:janfetze2.webp]||Koken was voor mij een logische stap, ik ben er dol op en hij word er ook enthousiast van. Op deze foto is hij amper 2, krukje erbij en lekker mee helpen. Inmiddels is hij een stuk ouder maar koken doen we nog steeds graag! Voordelen van het samen koken zijn:|1. Hij heeft de regie over wat er in de maaltijd gaat dus eet hij ook een stuk beter. (sensorische uitdagingen)|2. Hij leert spelenderwijs diverse kooktechnieken en werkt aan zijn motorische vaardigheden (een uitdaging met NF1)|3. Hij bouwt zelfvertrouwen op en als andere dingen zoals lezen niet zo makkelijk gaan is het zo fijn als je iets wel heel goed kan!|4. Maar het allerbelangrijkste: we hebben lol samen!||Na de horeca ging ik in de catering werken. En ondanks dat ik vaak moe ben door de NF1 kan ik niet zo goed stilzitten dus ik deed ook kookworkshops met Tupperware. En ik stond daarmee ook regelmatig op de markt. Zo ook op de hobby en vrije tijds beurs herfst 2018||**Het plan was:**|Workshops doen met volwassenen, Tupperware promoten en afspraken boeken.|**Dit gebeurde er:**|Een groep kinderen van de zorgboerderij kwam een kookworkshop bij mij doen. Deze groep was zo enthousiast, leergierig en blij om zelf te mogen koken.  Een bijzondere ervaring die een waakvlammetje deed branden en het idee was geboren: Koken met kinderen met een uitdaging.||**Maar ik deed hier nog niets mee…**||En toen kwam in 2020 CORONA, baan foetsie want ja uitzendkracht. En dan zit je thuis. Bah… Ik was er helemaal klaar mee, werken voor een baas. Afhankelijk zijn van de grillen van een ander…|Na een jaar was daar het berichtje over een training over zichtbaarheid.||**Het veranderde alles!!**|1 april 2021 startte ik, na eerst 2-3 maanden proefdraaien, mijn bedrijf:|Klaske haar kookworkshops.|Ik geef kookworkshops/kookles aan kinderen en in het bijzonder aan kinderen met een uitdaging. Omdat het voor mij altijd een feestje is om met de kinderen te koken noem ik de kookworkshops of kooklessen: het kookfeestje.|Ik heb altijd al een hekel aan het woord beperking gehad want daarmee beperkt je, je kind ook letterlijk. Ik zeg altijd een uitdaging. Zo van kom maar op. Als jij zegt dat het niet kan zal ik je eens laten zien wat er allemaal kan!||Daar richt ik mij ook op tijdens de kookworkshops: De “kan  ik wel” in plaats van de: “Kan ik niet”|Kijk op de home pgaina voor informatie over de kookworkshops."
7;Allergenen;Info over allergieen;warning;red;info;info;"[IMG:allergenen.webp]|Op deze pagina besteed ik aandacht aan de meest voorkomende allergenen. Heb jij nog aanvullingen? Laat het me weten via info@klaskehaarkookworkshops.nl|[IMG:ei.webp|80]|**Eieren**: Banaan of appelmoes werkt perfect als eivervanger in een cake!|[IMG:melk.webp|80]|**Lactose**: Vervang melk door lactosevrije producten.|[IMG:gluten.webp|80]|**Gluten**: Er zijn gelukkig ook heel veel granen die géén gluten bevatten, zoals haver, mais en teff.|[IMG:noten.webp|80]|**Noten**: Je kunt ze vaak gewoon weglaten of vervangen door zaden.|[IMG:pinda.webp|80]|**Pinda**: Tahin is een goede vervanger voor pindakaas.|Allergenen tijdens het kookfeestje: Ik vraag altijd naar allergieën en dieetwensen. Als een kind Coeliakie heeft, kookt IEDEREEN glutenvrij in verband met kruisbesmetting."
9;Vrienden van...;Partners en samenwerkingen;people;blue;info;info;"Bolletje van katoen bracht mijn mascottes tot leven.|[IMG:mascottes.webp]|Klik op het logo om bij bevriende ondernemers terecht te komen.||[IMGLINK:katoen.webp|https://bolletjevankatoen.nl]|| Op mijn kookdiploma’s staan picto’s zodat kinderen kunnen zien wat ze hebben geleerd. Soms zet ik recepten om in picto bijvoorbeeld voor de jongvolwassenen doelgroep. Want hoe leuk is het als je thuis zelfstandig het recept nog een keer kunt maken en lezen.||Ik maak hier speciale kookboekjes voor maar ik zou dat niet kunnen zonder de pictoschrijver.|Ooit heb ik voor Jan Fetze hiermee boekjes vertaald zodat hij zou kunnen lezen. Hierdoor kreeg hij door dat letters een betekenis hadden. Dat dit woorden zijn die horen bij het plaatje. Nu gebruik ik deze pictoschrijver voor mijn bedrijf. Heeft jouw kind moeite met lezen? Neem eens een kijkje op hun site!|Let wel op!! Ook pictolezen moet je leren en introduceren anders gaan kinderen raden naar de betekenis en dat is nou juist niet de bedoeling.[IMGLINK:pictoschrijver.webp|https://www.pictoschrijver.nl]"
10;Opgeven kookles;Ik ga weer starten met de kooklessen!;edit_calendar;green;link;home;"Ik ga weer starten met de kooklessen!|We gaan koken in series van 6 lessen en iedere keer behandelen we een ander thema. De eerste serie gaan we bakken!|We gaan lekkere bladerdeeg hapjes maken. We beginnen makkelijk en de laatste maken we een echt prachtig hapje!|De lessen starten op woensdag 4 februari!||## ONLINE LES||De lessen duren per keer ongeveer 1 uur.|De online lessen gaan via via het programma TEAMS.|Je koopt dan voordat de les begint zelf de boodschappen. Hiervoor krijg je aan het begin van de week een lijstje. Zorg dat je alles hebt zoals op het lijstje staat. Natuurlijk krijg je ook het recept!|Kom je er niet uit stuur dan even een berichtje.||De online lessen kosten 75,- euro per serie. Kun je een keer niet meedoen? Geen zorgen dan krijg je naderhand van mij een verkorte video met het recept.||De lessen beginnen in week 6.|Woensdagmiddag 4 februari is de eerste les.|Woensdagmiddag op 16.30-17.30 of Woensdagavond van 19.00-20.00 uur.|LET OP IN DE SCHOOLVAKANTIES is er geen les!||## Kookles bij mij in de keuken (privéles)||De lessen duren per keer ongeveer 1,5 uur.|Deze kooklessen zijn te boeken voor bijvoorbeeld een privefeestje|Bijvoorbeeld: beppe en de kleinkind(eren), Gezinsworkshops, kleine kinderfeestjes tot 4 personen|Kosten zijn €65,- per les.|Uiteraard mag het gemaakte mee naar huis.|tijdens de les maken we een mooie cakerol en een gerechtje naar keuze.||**Let op!**||De kooklessen kunnen alleen doorgaan bij voldoende aanmeldingen bij de start. Online minimaal 2 kinderen. Online is het maximum aantal deelnemers 8."
11;Nieuwsbrief;Schrijf je in voor de nieuwsbrief;mail;orange;newsletter;info;"Schrijf je in voor de nieuwsbrief van Klaske!"
12;Disclaimer;Juridische informatie en veiligheid;gavel;grey;info;info;"Deze applicatie en de website [klaskehaarkookworkshops.nl](https://klaskehaarkookworkshops.nl) worden beheerd door Klaske Haar Kookworkshops.||## Inhoud en Informatie|De informatie, recepten, video's en instructies in deze App zijn met de grootst mogelijke zorg samengesteld en zijn uitsluitend bedoeld voor recreatieve en educatieve doeleinden. Klaske Haar Kookworkshops biedt geen garantie voor de absolute juistheid, volledigheid of actualiteit van de verstrekte informatie.||## Eigen Verantwoordelijkheid en Veiligheid|Koken met kinderen brengt risico’s met zich mee. Het gebruik van deze App geschiedt volledig op eigen risico. Actief toezicht van een volwassene is te allen tijde verplicht. Klaske Haar Kookworkshops aanvaardt geen enkele aansprakelijkheid voor eventuele ongevallen of letsel.||## Allergieën en Gezondheid|Gebruikers zijn zelf verantwoordelijk om te controleren of ingrediënten geschikt zijn in verband met eventuele allergieën of medische aandoeningen."
